2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 1897698.0 |KezdésIdeje: 18:10:20 |BefejezésIdeje: 18:10:23 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2463498.0 |KezdésIdeje: 18:20:39 |BefejezésIdeje: 18:20:41 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2091058.0 |KezdésIdeje: 18:21:7 |BefejezésIdeje: 18:21:9 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 1794249.0 |KezdésIdeje: 18:23:12 |BefejezésIdeje: 18:23:16 |Eltelido: 0:0:4 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2550527.0 |KezdésIdeje: 18:23:58 |BefejezésIdeje: 18:23:59 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2188468.0 |KezdésIdeje: 18:24:44 |BefejezésIdeje: 18:24:46 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2178103.0 |KezdésIdeje: 18:25:31 |BefejezésIdeje: 18:25:33 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2398888.0 |KezdésIdeje: 18:26:42 |BefejezésIdeje: 18:26:44 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2189740.0 |KezdésIdeje: 18:27:5 |BefejezésIdeje: 18:27:7 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2387305.0 |KezdésIdeje: 18:27:14 |BefejezésIdeje: 18:27:16 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2469212.0 |KezdésIdeje: 18:27:49 |BefejezésIdeje: 18:27:50 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2471670.0 |KezdésIdeje: 18:28:16 |BefejezésIdeje: 18:28:20 |Eltelido: 0:0:4 |Előzmények: Nem voltak |Kilépési szándék: 0
